#node	identifier	category	term ID	term description
aadK	224308.BSU26790	GO Process	GO:0009987	Cellular process
aadK	224308.BSU26790	GO Process	GO:0010033	Response to organic substance
aadK	224308.BSU26790	GO Process	GO:0042221	Response to chemical
aadK	224308.BSU26790	GO Process	GO:0046677	Response to antibiotic
aadK	224308.BSU26790	GO Process	GO:0046679	Response to streptomycin
aadK	224308.BSU26790	GO Process	GO:0050896	Response to stimulus
aadK	224308.BSU26790	GO Process	GO:0051716	Cellular response to stimulus
aadK	224308.BSU26790	GO Process	GO:0070887	Cellular response to chemical stimulus
aadK	224308.BSU26790	GO Process	GO:0071236	Cellular response to antibiotic
aadK	224308.BSU26790	GO Process	GO:0071239	Cellular response to streptomycin
aadK	224308.BSU26790	GO Process	GO:1901700	Response to oxygen-containing compound
aadK	224308.BSU26790	GO Process	GO:1901701	Cellular response to oxygen-containing compound
aadK	224308.BSU26790	GO Process	GO:1903416	Response to glycoside
aadK	224308.BSU26790	GO Function	GO:0003824	Catalytic activity
aadK	224308.BSU26790	GO Function	GO:0005488	Binding
aadK	224308.BSU26790	GO Function	GO:0005515	Protein binding
aadK	224308.BSU26790	GO Function	GO:0016740	Transferase activity
aadK	224308.BSU26790	GO Function	GO:0016772	Transferase activity, transferring phosphorus-containing groups
aadK	224308.BSU26790	GO Function	GO:0016779	Nucleotidyltransferase activity
aadK	224308.BSU26790	GO Function	GO:0042802	Identical protein binding
aadK	224308.BSU26790	GO Function	GO:0042803	Protein homodimerization activity
aadK	224308.BSU26790	GO Function	GO:0046983	Protein dimerization activity
aadK	224308.BSU26790	GO Function	GO:0070566	Adenylyltransferase activity
aadK	224308.BSU26790	GO Component	GO:0005622	Intracellular anatomical structure
aadK	224308.BSU26790	GO Component	GO:0005737	Cytoplasm
aadK	224308.BSU26790	GO Component	GO:0110165	Cellular anatomical entity
aadK	224308.BSU26790	STRING clusters	CL:5978	Mostly uncharacterized, incl. Major facilitator superfamily, and Homeobox-like domain superfamily
aadK	224308.BSU26790	STRING clusters	CL:5979	Mixed, incl. Response to antibiotic, and Small multidrug resistance protein
aadK	224308.BSU26790	STRING clusters	CL:6067	Mixed, incl. Small multidrug resistance protein, and Response to antibiotic
aadK	224308.BSU26790	STRING clusters	CL:6068	Mixed, incl. Small multidrug resistance protein, and Response to antibiotic
aadK	224308.BSU26790	STRING clusters	CL:6070	Mixed, incl. Small multidrug resistance protein, and Antibiotic resistance
aadK	224308.BSU26790	STRING clusters	CL:6072	Small multidrug resistance protein, and Rescue of stalled ribosome
aadK	224308.BSU26790	STRING clusters	CL:6088	Small multidrug resistance protein, and Rescue of stalled ribosome
aadK	224308.BSU26790	COMPARTMENTS	GOCC:0005622	Intracellular
aadK	224308.BSU26790	COMPARTMENTS	GOCC:0005737	Cytoplasm
aadK	224308.BSU26790	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
aadK	224308.BSU26790	UniProt Keywords	KW-0808	Transferase
aadK	224308.BSU26790	Pfam	PF04439	Streptomycin adenylyltransferase
aadK	224308.BSU26790	InterPro	IPR007530	Aminoglycoside 6-adenylyltransferase
aadK	224308.BSU26790	InterPro	IPR043519	Nucleotidyltransferase superfamily
abrB	224308.BSU00370	GO Process	GO:0006355	Regulation of transcription, DNA-templated
abrB	224308.BSU00370	GO Process	GO:0009653	Anatomical structure morphogenesis
abrB	224308.BSU00370	GO Process	GO:0009889	Regulation of biosynthetic process
abrB	224308.BSU00370	GO Process	GO:0009890	Negative regulation of biosynthetic process
abrB	224308.BSU00370	GO Process	GO:0009892	Negative regulation of metabolic process
abrB	224308.BSU00370	GO Process	GO:0009987	Cellular process
abrB	224308.BSU00370	GO Process	GO:0010468	Regulation of gene expression
abrB	224308.BSU00370	GO Process	GO:0010556	Regulation of macromolecule biosynthetic process
abrB	224308.BSU00370	GO Process	GO:0010558	Negative regulation of macromolecule biosynthetic process
abrB	224308.BSU00370	GO Process	GO:0010605	Negative regulation of macromolecule metabolic process
abrB	224308.BSU00370	GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process
abrB	224308.BSU00370	GO Process	GO:0019222	Regulation of metabolic process
abrB	224308.BSU00370	GO Process	GO:0030154	Cell differentiation
abrB	224308.BSU00370	GO Process	GO:0030435	Sporulation resulting in formation of a cellular spore
abrB	224308.BSU00370	GO Process	GO:0031323	Regulation of cellular metabolic process
abrB	224308.BSU00370	GO Process	GO:0031324	Negative regulation of cellular metabolic process
abrB	224308.BSU00370	GO Process	GO:0031326	Regulation of cellular biosynthetic process
abrB	224308.BSU00370	GO Process	GO:0031327	Negative regulation of cellular biosynthetic process
abrB	224308.BSU00370	GO Process	GO:0032502	Developmental process
abrB	224308.BSU00370	GO Process	GO:0043934	Sporulation
abrB	224308.BSU00370	GO Process	GO:0043937	Regulation of sporulation
abrB	224308.BSU00370	GO Process	GO:0045892	Negative regulation of transcription, DNA-templated
abrB	224308.BSU00370	GO Process	GO:0045934	Negative regulation of nucleobase-containing compound metabolic process
abrB	224308.BSU00370	GO Process	GO:0048519	Negative regulation of biological process
abrB	224308.BSU00370	GO Process	GO:0048523	Negative regulation of cellular process
abrB	224308.BSU00370	GO Process	GO:0048646	Anatomical structure formation involved in morphogenesis
abrB	224308.BSU00370	GO Process	GO:0048856	Anatomical structure development
abrB	224308.BSU00370	GO Process	GO:0048869	Cellular developmental process
abrB	224308.BSU00370	GO Process	GO:0050789	Regulation of biological process
abrB	224308.BSU00370	GO Process	GO:0050793	Regulation of developmental process
abrB	224308.BSU00370	GO Process	GO:0050794	Regulation of cellular process
abrB	224308.BSU00370	GO Process	GO:0051171	Regulation of nitrogen compound metabolic process
abrB	224308.BSU00370	GO Process	GO:0051172	Negative regulation of nitrogen compound metabolic process
abrB	224308.BSU00370	GO Process	GO:0051252	Regulation of RNA metabolic process
abrB	224308.BSU00370	GO Process	GO:0051253	Negative regulation of RNA metabolic process
abrB	224308.BSU00370	GO Process	GO:0060255	Regulation of macromolecule metabolic process
abrB	224308.BSU00370	GO Process	GO:0065007	Biological regulation
abrB	224308.BSU00370	GO Process	GO:0080090	Regulation of primary metabolic process
abrB	224308.BSU00370	GO Process	GO:1902679	Negative regulation of RNA biosynthetic process
abrB	224308.BSU00370	GO Process	GO:1903506	Regulation of nucleic acid-templated transcription
abrB	224308.BSU00370	GO Process	GO:1903507	Negative regulation of nucleic acid-templated transcription
abrB	224308.BSU00370	GO Process	GO:2001141	Regulation of RNA biosynthetic process
abrB	224308.BSU00370	GO Function	GO:0003676	Nucleic acid binding
abrB	224308.BSU00370	GO Function	GO:0003677	DNA binding
