#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKZ49659.1	ComYD	1314.SD89_00645	1314.SD89_00675	0.590	0	0	0	0	0	0	0	0.591
AKZ49659.1	ComYB	1314.SD89_00645	1314.SD89_00655	0.590	0	0	0	0	0	0	0	0.591
AKZ49659.1	AKZ49664.1	1314.SD89_00645	1314.SD89_00670	0.590	0	0	0	0	0	0	0	0.591
AKZ49659.1	comYC	1314.SD89_00645	1314.SD89_00660	0.590	0	0	0	0	0	0	0	0.591
AKZ49659.1	comG	1314.SD89_00645	1314.SD89_00665	0.590	0	0	0	0.055	0	0	0	0.596
AKZ49659.1	comGF	1314.SD89_00645	1314.SD89_00680	0.590	0	0	0	0.055	0	0	0	0.596
AKZ49664.1	AKZ49659.1	1314.SD89_00670	1314.SD89_00645	0.590	0	0	0	0	0	0	0	0.591
AKZ49664.1	ComYB	1314.SD89_00670	1314.SD89_00655	0.799	0	0	0	0.717	0	0	0.297	0.956
AKZ49664.1	comYC	1314.SD89_00670	1314.SD89_00660	0.799	0	0	0	0.689	0	0	0.297	0.952
AKZ49664.1	comG	1314.SD89_00670	1314.SD89_00665	0.799	0	0	0	0	0	0	0	0.799
AKZ49664.1	comGF	1314.SD89_00670	1314.SD89_00680	0.799	0	0	0	0	0	0	0	0.799
AKZ49664.1	ComYD	1314.SD89_00670	1314.SD89_00675	0.799	0	0	0	0.674	0	0	0.212	0.944
AKZ49753.1	AKZ50825.1	1314.SD89_01145	1314.SD89_06890	0.162	0	0	0	0.203	0	0	0.205	0.422
AKZ49866.1	nga	1314.SD89_01775	1314.SD89_00915	0	0	0	0	0	0	0	0.554	0.554
AKZ49866.1	slo	1314.SD89_01775	1314.SD89_00925	0	0	0	0	0	0	0	0.578	0.578
AKZ49866.1	SpeG	1314.SD89_01775	1314.SD89_01105	0	0	0	0	0	0	0	0.863	0.863
AKZ49866.1	cepA	1314.SD89_01775	1314.SD89_08110	0	0	0	0	0	0	0	0.560	0.560
AKZ49866.1	AKZ51197.1	1314.SD89_01775	1314.SD89_08895	0	0	0	0	0	0	0	0.681	0.681
AKZ49866.1	speB	1314.SD89_01775	1314.SD89_09045	0	0	0	0	0	0	0	0.863	0.863
AKZ49866.1	SmeZ	1314.SD89_01775	1314.SD89_06905	0	0	0	0	0	0	0	0.863	0.863
AKZ49921.1	AKZ50825.1	1314.SD89_02060	1314.SD89_06890	0.162	0	0	0	0.203	0	0	0.205	0.422
AKZ50465.1	SibA	1314.SD89_04975	1314.SD89_00245	0	0	0	0	0.188	0	0	0.451	0.535
AKZ50465.1	AKZ50470.1	1314.SD89_04975	1314.SD89_05000	0.507	0	0	0	0.070	0	0	0	0.523
AKZ50465.1	hol	1314.SD89_04975	1314.SD89_04985	0.541	0	0	0	0	0	0	0	0.542
AKZ50465.1	AKZ50713.1	1314.SD89_04975	1314.SD89_06300	0.049	0	0	0	0	0	0	0.612	0.615
AKZ50470.1	AKZ50465.1	1314.SD89_05000	1314.SD89_04975	0.507	0	0	0	0.070	0	0	0	0.523
AKZ50470.1	hol	1314.SD89_05000	1314.SD89_04985	0.746	0	0	0	0	0	0	0	0.746
AKZ50484.1	hol	1314.SD89_05070	1314.SD89_04985	0.340	0	0.488	0	0	0	0	0.863	0.949
AKZ50484.1	AKZ50952.1	1314.SD89_05070	1314.SD89_07555	0	0	0.498	0	0	0	0	0	0.498
AKZ50484.1	AKZ50713.1	1314.SD89_05070	1314.SD89_06300	0.049	0	0	0	0	0	0	0.863	0.864
AKZ50700.1	SibA	1314.SD89_06235	1314.SD89_00245	0	0	0	0	0.188	0	0	0.451	0.535
AKZ50700.1	AKZ50706.1	1314.SD89_06235	1314.SD89_06265	0.781	0	0	0	0.070	0	0	0	0.789
