#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
aadK	tmrB	224308.BSU26790	224308.BSU03140	0.072	0	0	0	0.045	0	0	0.754	0.762
aadK	vmlR	224308.BSU26790	224308.BSU05610	0	0	0	0	0	0	0	0.915	0.915
aadK	mprF	224308.BSU26790	224308.BSU08425	0	0	0	0	0	0	0	0.682	0.682
aadK	blt	224308.BSU26790	224308.BSU26590	0	0	0	0	0	0	0	0.733	0.733
aadK	tetB	224308.BSU26790	224308.BSU40770	0	0	0	0	0.045	0	0	0.489	0.491
abrB	skfA	224308.BSU00370	224308.BSU01910	0	0	0	0	0	0	0	0.482	0.482
abrB	spoIIE	224308.BSU00370	224308.BSU00640	0	0	0	0	0	0	0	0.484	0.483
abrB	spbC	224308.BSU00370	224308.BSU33770	0	0	0	0	0	0	0	0.490	0.489
abrB	yabP	224308.BSU00370	224308.BSU00600	0	0	0.484	0	0	0	0	0.173	0.555
abrB	kinD	224308.BSU00370	224308.BSU13660	0	0	0	0	0	0	0	0.565	0.565
abrB	kinE	224308.BSU00370	224308.BSU13530	0	0	0	0	0	0	0	0.680	0.680
abrB	aprE	224308.BSU00370	224308.BSU10300	0	0	0	0	0	0	0	0.683	0.683
abrB	spoIIAB	224308.BSU00370	224308.BSU23460	0	0	0.656	0	0.050	0	0	0.177	0.707
abrB	mecA	224308.BSU00370	224308.BSU11520	0	0	0.171	0	0.056	0	0	0.685	0.731
abrB	kinB	224308.BSU00370	224308.BSU31450	0	0	0	0	0	0	0	0.751	0.751
abrB	spo0E	224308.BSU00370	224308.BSU13640	0	0	0	0	0.045	0	0	0.758	0.759
abrB	srfAA	224308.BSU00370	224308.BSU03480	0	0	0	0	0	0	0	0.846	0.846
abrB	scoC	224308.BSU00370	224308.BSU09990	0	0	0	0	0.047	0	0	0.846	0.846
abrB	tapA	224308.BSU00370	224308.BSU24640	0	0	0	0	0	0	0	0.912	0.912
abrB	sigH	224308.BSU00370	224308.BSU00980	0	0	0.306	0	0	0	0	0.916	0.939
abrB	spo0A	224308.BSU00370	224308.BSU24220	0	0	0.744	0	0.045	0	0	0.983	0.995
appB	appD	224308.BSU11390	224308.BSU11360	0.095	0.088	0.775	0	0.834	0.097	0.900	0.892	0.999
appB	appF	224308.BSU11390	224308.BSU11370	0.111	0.058	0.773	0	0.827	0.097	0.900	0.979	0.999
