#node	identifier	category	term ID	term description
EAMY_0509	665029.EAMY_0509	STRING clusters	CL:5592	Mixed, incl. Cytosine catabolic process, and ArsR-like helix-turn-helix domain
EAMY_0509	665029.EAMY_0509	STRING clusters	CL:5593	Mixed, incl. Cytosine catabolic process, and Spermidine transport
EAMY_0509	665029.EAMY_0509	STRING clusters	CL:5594	Mixed, incl. Spermidine transport, and PAS fold
EAMY_0950	665029.EAMY_0950	STRING clusters	CL:3109	Polysaccharide biosynthetic process, and Galactose metabolism
EAMY_0950	665029.EAMY_0950	STRING clusters	CL:3238	Lipid A metabolic process, and Glucosyl transferase II
EAMY_0950	665029.EAMY_0950	STRING clusters	CL:3239	Lipid A biosynthesis, and Glucosyl transferase II
EAMY_0950	665029.EAMY_0950	UniProt Keywords	KW-0472	Membrane
EAMY_0950	665029.EAMY_0950	UniProt Keywords	KW-0812	Transmembrane
EAMY_0950	665029.EAMY_0950	UniProt Keywords	KW-1133	Transmembrane helix
EAMY_0950	665029.EAMY_0950	Pfam	PF14264	Glucosyl transferase GtrII
EAMY_0950	665029.EAMY_0950	InterPro	IPR025686	Glucosyl transferase II
EAMY_1281	665029.EAMY_1281	GO Process	GO:0006810	Transport
EAMY_1281	665029.EAMY_1281	GO Process	GO:0009987	Cellular process
EAMY_1281	665029.EAMY_1281	GO Process	GO:0051179	Localization
EAMY_1281	665029.EAMY_1281	GO Process	GO:0051234	Establishment of localization
EAMY_1281	665029.EAMY_1281	GO Process	GO:0055085	Transmembrane transport
EAMY_1281	665029.EAMY_1281	GO Function	GO:0005215	Transporter activity
EAMY_1281	665029.EAMY_1281	GO Function	GO:0015562	Efflux transmembrane transporter activity
EAMY_1281	665029.EAMY_1281	GO Function	GO:0022857	Transmembrane transporter activity
EAMY_1281	665029.EAMY_1281	GO Component	GO:0009279	Cell outer membrane
EAMY_1281	665029.EAMY_1281	GO Component	GO:0016020	Membrane
