#node	identifier	category	term ID	term description
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0006810	Transport
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0008104	Protein localization
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0009306	Protein secretion
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0009987	Cellular process
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0015031	Protein transport
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0015628	Protein secretion by the type II secretion system
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0032940	Secretion by cell
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0033036	Macromolecule localization
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0035592	Establishment of protein localization to extracellular region
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0045184	Establishment of protein localization
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0046903	Secretion
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0051179	Localization
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0051234	Establishment of localization
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0051641	Cellular localization
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0055085	Transmembrane transport
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0070727	Cellular macromolecule localization
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0071692	Protein localization to extracellular region
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0071702	Organic substance transport
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0071705	Nitrogen compound transport
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0071806	Protein transmembrane transport
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0098776	Protein transport across the cell outer membrane
SBV49760.1	56449.XBLMG947_0534	GO Process	GO:0140352	Export from cell
SBV49760.1	56449.XBLMG947_0534	GO Function	GO:0005488	Binding
SBV49760.1	56449.XBLMG947_0534	GO Function	GO:0005515	Protein binding
SBV49760.1	56449.XBLMG947_0534	GO Function	GO:0042802	Identical protein binding
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0009279	Cell outer membrane
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0015627	Type II protein secretion system complex
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0016020	Membrane
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0016021	Integral component of membrane
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0019867	Outer membrane
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0030312	External encapsulating structure
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0030313	Cell envelope
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0031224	Intrinsic component of membrane
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0031975	Envelope
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0032991	Protein-containing complex
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0071944	Cell periphery
SBV49760.1	56449.XBLMG947_0534	GO Component	GO:0110165	Cellular anatomical entity
SBV49760.1	56449.XBLMG947_0534	STRING clusters	CL:3889	Mixed, incl. Protein transport across the cell outer membrane, and Pilus organization
SBV49760.1	56449.XBLMG947_0534	STRING clusters	CL:3891	Mixed, incl. Protein transport across the cell outer membrane, and Pilus organization
SBV49760.1	56449.XBLMG947_0534	STRING clusters	CL:3943	Protein transport across the cell outer membrane, and GspK, central domain superfamily
SBV49760.1	56449.XBLMG947_0534	STRING clusters	CL:3944	Mixed, incl. Type II protein secretion system complex, and GspK, central domain superfamily
SBV49760.1	56449.XBLMG947_0534	KEGG	map03070	Bacterial secretion system
SBV49760.1	56449.XBLMG947_0534	COMPARTMENTS	GOCC:0015627	Type II protein secretion system complex
SBV49760.1	56449.XBLMG947_0534	COMPARTMENTS	GOCC:0032991	Protein-containing complex
SBV49760.1	56449.XBLMG947_0534	UniProt Keywords	KW-0813	Transport
SBV49760.1	56449.XBLMG947_0534	Pfam	PF00263	Bacterial type II and III secretion system protein
SBV49760.1	56449.XBLMG947_0534	Pfam	PF03958	Bacterial type II/III secretion system short domain
SBV49760.1	56449.XBLMG947_0534	InterPro	IPR001775	GspD/PilQ family
SBV49760.1	56449.XBLMG947_0534	InterPro	IPR004845	Type II secretion system protein GspD, conserved site
SBV49760.1	56449.XBLMG947_0534	InterPro	IPR004846	Type II/III secretion system
SBV49760.1	56449.XBLMG947_0534	InterPro	IPR005644	NolW-like
SBV49760.1	56449.XBLMG947_0534	InterPro	IPR013356	Type II secretion system protein GspD
SBV49760.1	56449.XBLMG947_0534	InterPro	IPR038591	NolW-like superfamily
SBV50058.1	56449.XBLMG947_0834	GO Function	GO:0005488	Binding
SBV50058.1	56449.XBLMG947_0834	GO Component	GO:0016020	Membrane
SBV50058.1	56449.XBLMG947_0834	GO Component	GO:0016021	Integral component of membrane
SBV50058.1	56449.XBLMG947_0834	GO Component	GO:0031224	Intrinsic component of membrane
SBV50058.1	56449.XBLMG947_0834	GO Component	GO:0110165	Cellular anatomical entity
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3241	Mixed, incl. Signal, and Transmembrane helix
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3242	Mixed, incl. Signal, and Transmembrane helix
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3243	Mixed, incl. Signal, and Transmembrane helix
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3244	Mixed, incl. Signal, and Cell cycle process
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3245	Mixed, incl. Signal, and Cell cycle process
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3246	Mixed, incl. Signal, and Cell cycle process
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3247	Mixed, incl. Signal, and Cell cycle process
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3248	Mixed, incl. Signal, and Cell cycle process
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3249	Mixed, incl. Cell cycle process, and Signal
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3250	Mixed, incl. Cell cycle process, and Signal
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3252	Mixed, incl. Signal, and Cell cycle process
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3254	Mixed, incl. Cell cycle process, and Signal
SBV50058.1	56449.XBLMG947_0834	STRING clusters	CL:3384	Mixed, incl. Restriction endonuclease, and Polysaccharide biosynthesis protein
SBV50058.1	56449.XBLMG947_0834	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
SBV50058.1	56449.XBLMG947_0834	UniProt Keywords	KW-0472	Membrane
SBV50058.1	56449.XBLMG947_0834	UniProt Keywords	KW-0812	Transmembrane
SBV50058.1	56449.XBLMG947_0834	UniProt Keywords	KW-1133	Transmembrane helix
SBV50058.1	56449.XBLMG947_0834	InterPro	IPR000253	Forkhead-associated (FHA) domain
SBV50058.1	56449.XBLMG947_0834	InterPro	IPR008984	SMAD/FHA domain superfamily
SBV50058.1	56449.XBLMG947_0834	InterPro	IPR032030	YscD, cytoplasmic domain
SBV50058.1	56449.XBLMG947_0834	SMART	SM00240	Forkhead associated domain
SBV50200.1	56449.XBLMG947_0977	GO Process	GO:0009987	Cellular process
SBV50200.1	56449.XBLMG947_0977	GO Function	GO:0003824	Catalytic activity
SBV50200.1	56449.XBLMG947_0977	GO Component	GO:0110165	Cellular anatomical entity
SBV50200.1	56449.XBLMG947_0977	STRING clusters	CL:6616	Mixed, incl. Protein transmembrane transport, and Domain of unknown function DUF2235
SBV50200.1	56449.XBLMG947_0977	STRING clusters	CL:6617	Mixed, incl. Protein transmembrane transport, and Domain of unknown function DUF2235
SBV50200.1	56449.XBLMG947_0977	STRING clusters	CL:6618	Mixed, incl. Protein transmembrane transport, and Domain of unknown function DUF2235
SBV50200.1	56449.XBLMG947_0977	STRING clusters	CL:6619	Mixed, incl. Protein transmembrane transport, and Domain of unknown function DUF2235
SBV50200.1	56449.XBLMG947_0977	STRING clusters	CL:6621	Mixed, incl. Protein transmembrane transport, and Domain of unknown function DUF2235
SBV50200.1	56449.XBLMG947_0977	STRING clusters	CL:6623	Mixed, incl. Protein transmembrane transport, and Domain of unknown function DUF2235
SBV50200.1	56449.XBLMG947_0977	STRING clusters	CL:6673	Mixed, incl. Domain of unknown function DUF2235, and Cytokinin biosynthesis
SBV50200.1	56449.XBLMG947_0977	KEGG	map02024	Quorum sensing
SBV50200.1	56449.XBLMG947_0977	COMPARTMENTS	GOCC:0005576	Extracellular region
SBV50200.1	56449.XBLMG947_0977	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
SBV50200.1	56449.XBLMG947_0977	InterPro	IPR007685	RelA/SpoT
SBV50200.1	56449.XBLMG947_0977	InterPro	IPR011989	Armadillo-like helical
SBV50200.1	56449.XBLMG947_0977	InterPro	IPR016024	Armadillo-type fold
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0006807	Nitrogen compound metabolic process
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0008152	Metabolic process
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0016567	Protein ubiquitination
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0019538	Protein metabolic process
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0032446	Protein modification by small protein conjugation
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0036211	Protein modification process
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0043170	Macromolecule metabolic process
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0043412	Macromolecule modification
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0044238	Primary metabolic process
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0070647	Protein modification by small protein conjugation or removal
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:0071704	Organic substance metabolic process
SBV50480.1	56449.XBLMG947_1260	GO Process	GO:1901564	Organonitrogen compound metabolic process
SBV50480.1	56449.XBLMG947_1260	GO Function	GO:0003824	Catalytic activity
SBV50480.1	56449.XBLMG947_1260	GO Function	GO:0004842	Ubiquitin-protein transferase activity
